Label	Gene
1365	POGK
1366	POGZ
1367	POLA1
1368	POLB
1369	POLE3
1370	POLE4
1371	POLG
1372	POLH
1373	POLI
1374	POLK
1375	POLL
1376	POLM
1377	POLN
1378	POLQ
1379	POLR1B
1380	POLR2A
1381	POLR2B
1382	POLR2E
1383	POLR2J
1384	POLR2K
1385	POLR2L
1386	POLR3A
1387	POLRMT
1388	POT1
1389	POU1F1
1390	POU2AF1
1391	POU2F1
1392	POU2F2
1393	POU2F3
1394	POU3F1
1395	POU3F2
1396	POU3F3
1397	POU3F4
1398	POU4F1
1399	POU4F2
1400	POU4F3
1401	POU5F1
1402	POU5F1B
1403	POU5F2
1404	POU6F1
1405	POU6F2
1406	PPARA
1407	PPARD
1408	PPARG
1409	PPARGC1A
1410	PPARGC1B
1411	PPP1R10
1412	PPP1R13L
1413	PPP1R21
1414	PPP2R3B
1415	PPP2R5B
1416	PPP3CA
1417	PPRC1
1418	PQBP1
1419	PRAM1
1420	PRAP1
1421	PRB3
1422	PRDM1
1423	PRDM10
1424	PRDM11
1425	PRDM12
1426	PRDM13
1427	PRDM14
1428	PRDM15
1429	PRDM16
1430	PRDM2
1431	PRDM4
1432	PRDM5
1433	PRDM6
1434	PRDM7
1435	PRDM8
1436	PRDM9
1437	PRDX3
1438	PREB
1439	PREX1
1440	PREX2
1441	PRH2
1442	PRIM2
1443	PRIMPOL
1444	PRKCB
1445	PRKCH
1446	PRKCI
1447	PRKCQ
1448	PRKCZ
1449	PRKD1
1450	PRKD2
1451	PRKN
1452	PRMT2
1453	PRMT3
1454	PRNP
1455	PROP1
1456	PROX1
1457	PROX2
1458	PRR12
1459	PRR3
1460	PRRX1
1461	PRRX2
1462	PSMA6
1463	PSMC5
1464	PSMD10
1465	PSMD11
1466	PSMD12
1467	PSPC1
1468	PTCH1
1469	PTEN
1470	PTF1A
1471	PTGIS
1472	PTH
1473	PTTG1
1474	PUM3
1475	PURA
1476	PURB
1477	PURG
1478	PYCARD
1479	PYDC1
1480	PYDC2
1481	QRICH1
1482	RAB11FIP4
1483	RAB7B
1484	RAD21
1485	RAD51
1486	RAG1
1487	RAI1
1488	RAPGEF3
1489	RAPGEF4
1490	RAPGEF5
1491	RARA
1492	RARB
1493	RARG
1494	RAX
1495	RAX2
1496	RB1
1497	RBAK
1498	RBBP7
1499	RBCK1
1500	RBL1
1501	RBL2
1502	RBM10
1503	RBM20
1504	RBM22
1505	RBM26
1506	RBM27
1507	RBM5
1508	RBM6
1509	RBPJ
1510	RBPJL
1511	RBSN
1512	RC3H1
1513	RC3H2
1514	RCAN1
1515	RCOR1
1516	RCOR2
1517	RCOR3
1518	RECQL
1519	REL
1520	RELA
1521	RELB
1522	RELL2
1523	RELN
1524	REPIN1
1525	RERE
1526	REST
1527	REV1
1528	REXO4
1529	RFC1
1530	RFX1
1531	RFX2
1532	RFX3
1533	RFX4
1534	RFX5
1535	RFX6
1536	RFX7
1537	RFX8
1538	RFXANK
1539	RFXAP
1540	RGCC
1541	RGS11
1542	RGS6
1543	RGS7
1544	RGS9
1545	RHEBL1
1546	RHOXF1
1547	RHOXF2
1548	RHOXF2B
1549	RING1
1550	RIOK2
1551	RIPK1
1552	RIPK2
1553	RIPK3
1554	RIPK4
1555	RLF
1556	RLIM
1557	RNASE2
1558	RNASEH1
1559	RNF113A
1560	RNF113B
1561	RNF114
1562	RNF125
1563	RNF138
1564	RNF14
1565	RNF166
1566	RNF2
1567	RNF219
1568	RNF25
1569	RNF31
1570	RNF4
1571	RNF41
1572	RORA
1573	RORB
1574	RORC
